1101001	91	54	52
1101002	35	45	25
1101003	91	88	32
1101004	81	63	93
1101005	48	76	30
1101006	85	81	94
1101007	64	60	70
1101008	35	37	59
1101009	36	45	61
1101010	89	74	99
1101011	33	84	28
1101012	28	27	96
1101013	77	51	66
1101014	43	48	82
1101015	69	32	37
1101016	33	29	29
1101017	36	40	37
1101018	58	48	78
1101019	31	45	35
1101020	61	48	44
1101021	30	67	72
1101022	54	49	80
1101023	90	35	98
1101024	94	88	57
1101025	55	71	50
1101026	82	39	85
1101027	81	98	66
1101028	66	81	75
1101029	32	30	42
1101030	28	51	72
1101031	72	59	68
1101032	31	76	27
1101033	26	29	39
1101034	36	66	92
1101035	84	70	45
1101036	40	52	50
1101037	65	73	49
1101038	36	65	92
1101039	79	27	27
1101040	54	31	74
1101041	27	48	53
1101042	58	30	59
1101043	88	36	39
1101044	99	32	76
1101045	34	86	58
1101046	78	84	92
1101047	36	94	27
1101048	83	27	86
1101049	58	61	34
1101050	29	91	58
1101051	35	97	35
1101052	60	27	70
1101053	59	73	31
1101054	84	79	66
1101055	57	81	48
1101056	28	33	52
1101057	75	33	96
1101058	81	90	88
1101059	30	77	69
1101060	91	34	78
1101061	34	88	88
1101062	34	99	72
1101063	55	42	44
1101064	31	87	41
1101065	55	72	58
1101066	51	27	83
1101067	58	45	99
1101068	68	40	53
1101069	69	98	90
1101070	72	46	59
1101071	59	50	42
1101072	64	47	96
1101073	76	51	49
1101074	50	73	85
1101075	76	73	93
1101076	90	72	83
1101077	77	87	62
1101078	47	25	61
1101079	42	70	99
1101080	48	42	46
1101081	98	51	91
1101082	38	34	42
1101083	55	78	26
1101084	61	79	72
1101085	78	55	87
1101086	64	32	91
1101087	85	75	34
1101088	36	76	63
1101089	90	92	54
1101090	43	86	80
1101091	38	72	73
1101092	25	71	29
1101093	28	71	74
1101094	37	62	28
1101095	40	52	87
1101096	95	57	26
1101097	91	55	38
1101098	73	40	52
1101099	41	29	48
1101100	57	99	28
1101101	62	77	39
1101102	68	81	34
1101103	53	69	27
1101104	27	96	31
1101105	66	96	47
1101106	30	73	65
1101107	61	87	28
1101108	86	55	62
1101109	40	70	90
1101110	58	36	87
1101111	25	77	27
1101112	65	53	91
1101113	75	75	27
1101114	93	87	81
1101115	56	67	71
1101116	63	44	94
1101117	85	28	36
1101118	91	32	61
1101119	61	59	50
1101120	43	59	87
1101121	39	99	89
1101122	95	60	29
1101123	72	98	37
1101124	81	28	30
1101125	58	62	47
1101126	97	48	34
1101127	73	88	74
1101128	57	67	69
1101129	33	94	77
1101130	37	63	43
1101131	97	53	77
1101132	75	36	34
1101133	51	75	59
1101134	58	48	76
1101135	64	83	80
1101136	84	65	77
1101137	62	70	48
1101138	48	86	41
1101139	73	76	56
1101140	80	74	91
1101141	30	41	98
1101142	84	54	66
1101143	76	68	77
1101144	81	87	66
1101145	94	59	79
1101146	28	31	84
1101147	64	57	43
1101148	57	85	35
1101149	29	53	59
1101150	41	70	70
1101151	82	34	44
1101152	32	27	99
1101153	89	94	56
1101154	85	80	65
1101155	99	65	88
1101156	52	56	89
1101157	53	40	63
1101158	32	64	99
1101159	89	32	80
1101160	75	90	35
1101161	30	78	81
1101162	50	37	68
1101163	78	48	60
1101164	94	57	50
1101165	83	37	59
1101166	95	68	75
1101167	92	68	28
1101168	59	39	33
1101169	50	41	70
1101170	90	84	47
1101171	32	76	26
1101172	96	92	69
1101173	67	38	86
1101174	41	97	36
1101175	39	99	75
1101176	41	77	58
1101177	63	84	93
1101178	93	90	53
1101179	75	48	30
1101180	38	38	29
1101181	96	70	94
1101182	28	78	85
1101183	67	72	78
1101184	93	91	42
1101185	67	26	54
1101186	37	60	57
1101187	98	44	70
1101188	47	25	76
1101189	59	81	47
1101190	54	92	55
1101191	60	43	98
1101192	26	28	73
1101193	46	68	65
1101194	88	69	44
1101195	36	67	54
1101196	69	85	57
1101197	98	67	92
1101198	73	49	48
1101199	41	97	95
1101200	98	84	99


 


    
